Entity,Code,Mean male height (cm),Mean female height (cm),Mean BMI (kg/m) (age-standardized estimate) - Sex: male - Age group: 18+  years of age,Mean BMI (kg/m),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population)
Iraq,IRQ,170.7703653,158.71626636,27.8,29.7,71.46632369,21.50000000000000
Ireland,IRL,178.74078362,164.84700823,27.9,27,81.60162902,2.80000000000000
Israel,ISR,176.76622325,161.83442438,27.6,26.9,81.74464677,4.20000000000000
Italy,ITA,177.5654295,164.21453345,26.5,24.7,82.19747411,5.00000000000000
Jamaica,JAM,174.55513372,163.22512769,25.8,29.6,70.1439437,17.80000000000000
Japan,JPN,171.04545488,158.37837963,23.6,21.8,84.46067178,2.70000000000000
Jordan,JOR,171.44674971,158.87493924,28.3,29.8,75.64973596,13.60000000000000
Kazakhstan,KAZ,171.40653936,159.78648673,26.3,26.4,70.27511981,12.20000000000000
Kenya,KEN,170.40090327,158.55219623,22.1,24.5,66.76221995,28.20000000000000
Kiribati,KIR,169.4605506,157.45851788,29,31.1,60.87345633,6.20000000000000
Kuwait,KWT,172.28925031,159.499331,29,30.4,78.95211671,9.20000000000000
Kyrgyzstan,KGZ,171.3219652,159.43995073,25.9,27.2,72.18500345,13.30000000000000
Laos,LAO,160.51780512,151.35263915,22.7,23.1,68.23189407,16.40000000000000
Latvia,LVA,181.09479191,169.40329892,27,26.2,73.20251724,9.80000000000000
Lebanon,LBN,174.64212635,162.13953171,27.9,27.4,74.34207035,9.70000000000000
Lesotho,LSO,166.38868457,156.23625871,22.7,27,51.47907482,21.60000000000000
Liberia,LBR,164.41014121,156.07206374,23.1,25.1,63.45730846,15.30000000000000
Libya,LBY,173.79116519,161.89372015,26.9,29.2,72.17844009,34.00000000000000
Lithuania,LTU,178.93172985,166.43520763,27,25.8,74.13314711,6.30000000000000
Luxembourg,LUX,177.93376962,164.64145395,27,25.6,82.78028566,3.90000000000000
Madagascar,MDG,162.50868241,151.75285203,21.5,21.1,62.9342555,22.50000000000000
Malawi,MWI,163.09981448,154.77490201,22.6,23.2,62.48652597,20.20000000000000
Malaysia,MYS,167.74680835,156.06386477,25.3,26.1,72.8101035,13.90000000000000
Maldives,MDV,167.03778178,154.44195229,24.6,26.3,75.39664085,1.30000000000000
Mali,MLI,171.85796191,160.78945701,22.9,23.1,61.67398609,20.20000000000000
Malta,MLT,173.10626754,160.6072364,27.7,26.3,81.81193837,1.90000000000000
Marshall Islands,MHL,163.46122281,151.87898172,28.8,30.4,,11.90000000000000
Mauritania,MRT,164.6670356,158.27609194,23.2,26.6,68.86843813,9.50000000000000
Mauritius,MUS,170.68336382,156.9768169,24.6,25.9,73.41967032,9.70000000000000
Mexico,MEX,168.65970802,156.33190536,27.5,28.4,70.83258685,12.00000000000000
Micronesia (country),FSM,168.80057981,156.55409447,28.1,31.4,65.70956674,14.10000000000000
Moldova,MDA,175.24607735,163.11142561,26.6,27.3,69.55780877,9.10000000000000
Mongolia,MNG,169.12313381,158.28944052,25.9,26.6,70.09795294,12.40000000000000
Montenegro,MNE,178.29106228,164.85151895,27,26.1,74.70975149,9.10000000000000
Morocco,MAR,170.73831417,157.99242414,25.4,26.5,72.61868352,18.60000000000000
