Country,Code,Mean male height (cm),Mean female height (cm),Mean male BMI (kg/m_2),Mean female BMI (kg/m_2),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Total alcohol per capita (more 15 years of age) consumption (litres of pure alcohol),Density of medical doctors (per 10 000 population),Age-standardized prevalence of tobacco use among persons 15 years and older  (%),Happiness - Life evaluation (3-year average),Cost of Living Index,Price To Income Ratio
Tuvalu,TUV,169.84669173,158.45146486,30,31.6,,17.90000000000000,,0.31926204800000,13.46000000000000,33.70000000000000,,,
Uganda,UGA,166.54856683,157.14196143,21.6,23.3,65.98577935,16.00000000000000,15.50060534000000,6.33181625700000,1.91000000000000,7.50000000000000,4.461,27.0,
Ukraine,UKR,178.28725289,166.11207053,26.9,26.2,70.90674708,10.50000000000000,5.60520838800000,7.42770312200000,35.31100000000000,24.90000000000000,4.680,28.2,12.8
United Arab Emirates,ARE,170.78808463,158.72307739,28,29.4,78.30645695,5.90000000000000,0.67269170900000,0.81515361700000,29.92000000000000,9.00000000000000,6.759,55.2,7.4
United Kingdom,GBR,177.56555485,164.22401556,27.3,27,80.10062783,2.40000000000000,1.27383146300000,10.85546213800000,33.01000000000000,14.20000000000000,6.728,67.8,8.0
United States,USA,177.26046129,163.62081696,28.8,28.9,76.37368104,14.20000000000000,5.76984477200000,9.81064510300000,36.81000000000000,24.30000000000000,6.724,68.8,3.5
Uruguay,URY,173.40650985,161.88296019,27.3,27.3,74.98295244,13.00000000000000,9.19872175800000,6.16309434600000,46.74000000000000,20.50000000000000,6.661,55.6,13.3
Uzbekistan,UZB,169.78353723,158.20871204,26.3,27.4,72.18877681,9.30000000000000,1.28210556400000,2.06295963900000,23.10000000000000,16.70000000000000,6.193,27.3,13.3
Vanuatu,VUT,168.34145649,158.51110023,25.6,26.8,66.3483713,12.50000000000000,2.24719778500000,1.89377314100000,1.64000000000000,,,,
Venezuela,VEN,171.42835837,157.30289573,26.6,26.8,71.22082891,13.20000000000000,63.14800530000000,2.33949013600000,16.64000000000000,,5.683,37.7,15.1
Vietnam,VNM,164.11086765,153.45631075,21.9,21.9,73.7965773,17.70000000000000,1.90527963100000,10.71540792200000,11.07000000000000,22.50000000000000,6.352,26.4,30.2
Yemen,YEM,160.98027194,154.26297415,23.6,24.1,65.76206783,29.80000000000000,9.40274661000000,0.00014814000000,0.98000000000000,21.40000000000000,3.561,53.1,
Zambia,ZMB,167.355867,156.34883227,21.3,23.7,60.96884286,17.10000000000000,5.94417585300000,3.61253756600000,3.24000000000000,14.60000000000000,3.912,29.9,
Zimbabwe,ZWE,169.42746002,158.62912799,22.2,25.3,58.48102238,29.90000000000000,11.92408835000000,5.43114016600000,1.36000000000000,11.30000000000000,3.396,35.9,9.5
