Country,Code,Mean male height (cm),Mean female height (cm),Mean male BMI (kg/m_2),Mean female BMI (kg/m_2),Life expectancy at birth (years),Road traffic mortality rate (per 100 000 population),Mortality rate due to homicide (per 100 000 population),Total alcohol per capita (more 15 years of age) consumption (litres of pure alcohol),Density of medical doctors (per 10 000 population),Age-standardized prevalence of tobacco use among persons 15 years and older  (%),Happiness - Life evaluation (3-year average),Cost of Living Index,Price To Income Ratio
Lebanon,LBN,174.64212635,162.13953171,27.9,27.4,74.34207035,9.70000000000000,5.31175472400000,1.58714855400000,26.80000000000000,34.30000000000000,3.188,41.7,17.8
Lesotho,LSO,166.38868457,156.23625871,22.7,27,51.47907482,21.60000000000000,38.94624372000000,3.84786850000000,2.35000000000000,24.30000000000000,3.757,,
Liberia,LBR,164.41014121,156.07206374,23.1,25.1,63.45730846,15.30000000000000,9.36278568200000,2.83007182900000,1.78000000000000,8.20000000000000,4.277,,
Libya,LBY,173.79116519,161.89372015,26.9,29.2,72.17844009,34.00000000000000,2.10038416100000,0.02171313900000,20.42000000000000,,5.820,18.3,
Lithuania,LTU,178.93172985,166.43520763,27,25.8,74.13314711,6.30000000000000,4.17273202300000,12.18491496300000,61.04000000000000,31.40000000000000,6.829,51.2,11.2
Luxembourg,LUX,177.93376962,164.64145395,27,25.6,82.78028566,3.90000000000000,0.47490304300000,10.79862457700000,29.84000000000000,23.00000000000000,7.122,78.0,9.4
Madagascar,MDG,162.50868241,151.75285203,21.5,21.1,62.9342555,22.50000000000000,6.11357640800000,0.86133442800000,1.72000000000000,26.80000000000000,4.157,22.5,
Malawi,MWI,163.09981448,154.77490201,22.6,23.2,62.48652597,20.20000000000000,1.90304519700000,1.69882137400000,0.54000000000000,9.70000000000000,3.260,,
Malaysia,MYS,167.74680835,156.06386477,25.3,26.1,72.8101035,13.90000000000000,2.61977661200000,0.81302767000000,23.41000000000000,22.00000000000000,5.955,34.0,8.8
Maldives,MDV,167.03778178,154.44195229,24.6,26.3,75.39664085,1.30000000000000,2.13802238400000,1.61669644100000,22.35000000000000,26.30000000000000,,48.9,
Mali,MLI,171.85796191,160.78945701,22.9,23.1,61.67398609,20.20000000000000,10.03785674000000,3.55664448700000,1.88000000000000,8.00000000000000,4.345,,
Malta,MLT,173.10626754,160.6072364,27.7,26.3,81.81193837,1.90000000000000,0.86198370300000,6.19950005500000,45.13400000000000,24.70000000000000,6.316,56.8,10.6
Marshall Islands,MHL,163.46122281,151.87898172,28.8,30.4,,11.90000000000000,,,,29.80000000000000,,,
Mauritania,MRT,164.6670356,158.27609194,23.2,26.6,68.86843813,9.50000000000000,10.63822897000000,0.00823131300000,2.61000000000000,9.50000000000000,4.542,,
Mauritius,MUS,170.68336382,156.9768169,24.6,25.9,73.41967032,9.70000000000000,2.20440868500000,7.65311714400000,14.36000000000000,20.90000000000000,5.832,38.3,20.5
Mexico,MEX,168.65970802,156.33190536,27.5,28.4,70.83258685,12.00000000000000,28.22944475000000,6.01050571000000,25.88000000000000,14.90000000000000,6.979,42.6,13.3
Micronesia (country),FSM,168.80057981,156.55409447,28.1,31.4,65.70956674,14.10000000000000,4.79597955000000,1.95676898600000,9.74000000000000,,,,
Moldova,MDA,175.24607735,163.11142561,26.6,27.3,69.55780877,9.10000000000000,4.56251996500000,14.12827443900000,40.16000000000000,29.70000000000000,5.819,35.8,14.1
Mongolia,MNG,169.12313381,158.28944052,25.9,26.6,70.09795294,12.40000000000000,5.31724625500000,7.73552543200000,41.30000000000000,29.50000000000000,5.833,31.4,11.4
Montenegro,MNE,178.29106228,164.85151895,27,26.1,74.70975149,9.10000000000000,2.60002060500000,8.01433256200000,27.83000000000000,32.00000000000000,5.877,42.7,13.0
Morocco,MAR,170.73831417,157.99242414,25.4,26.5,72.61868352,18.60000000000000,1.53062915600000,0.57477859100000,7.40000000000000,13.00000000000000,4.622,31.4,13.4
Mozambique,MOZ,165.43833955,154.3711315,22,23.4,57.66202708,20.10000000000000,3.26452664100000,1.91112205900000,1.75000000000000,,5.190,36.9,
Myanmar,MMR,164.6115948,154.30365736,22.2,23,67.84580637,19.30000000000000,3.93544833900000,1.87491409900000,7.57000000000000,44.40000000000000,4.321,38.0,
Namibia,NAM,167.9163381,159.28007689,22.9,25.3,60.35994599,22.00000000000000,17.93660947000000,11.99319541600000,5.53000000000000,14.10000000000000,4.911,36.3,
Nauru,NRU,168.11651337,154.65782273,32.2,32.7,,8.00000000000000,,2.97466666700000,12.73000000000000,48.30000000000000,,,
Nepal,NPL,162.41962741,150.93960148,22.5,22.5,70.04936795,28.20000000000000,2.31860788000000,3.73327896500000,10.11000000000000,28.30000000000000,5.311,22.6,42.4
Netherlands,NLD,182.54525573,168.7822085,26,25.1,81.12478594,3.40000000000000,0.57618561900000,8.70464231800000,38.76000000000000,21.30000000000000,7.306,73.4,7.5
New Zealand,NZL,177.81803346,164.89431366,28.1,28,82.20149177,6.60000000000000,1.21333883600000,9.21179494400000,36.11000000000000,12.20000000000000,6.952,60.3,8.0
Nicaragua,NIC,166.7785389,154.38235019,26.5,27.9,75.02796138,13.60000000000000,9.22522215700000,3.93242894300000,6.82000000000000,,6.330,34.2,
Niger,NER,168.73403925,158.84392044,21.4,22.3,59.97070525,24.90000000000000,9.38430135800000,0.15465787700000,0.38000000000000,7.70000000000000,4.725,,
Nigeria,NGA,166.6937646,156.90807863,22.5,23.9,63.3974984,17.20000000000000,8.76707894300000,2.31236996600000,3.80000000000000,3.30000000000000,4.885,27.7,93.7
Niue,NIU,175.80299842,164.64386886,31.4,33.3,,0.00000000000000,,3.28149800300000,,,,,
North Korea,PRK,171.52265119,158.67210072,24.2,24,72.6431485,,4.09121153100000,4.75485580600000,36.28000000000000,16.50000000000000,,,
North Macedonia,MKD,178.33895796,160.02655416,27.3,26.2,72.99535604,5.70000000000000,1.05984020700000,5.76411544500000,29.44000000000000,,5.503,35.5,11.8
Norway,NOR,179.83230188,165.80615876,27.3,26.1,82.88199872,1.50000000000000,0.56433854400000,7.48005689100000,49.75000000000000,14.20000000000000,7.262,83.7,8.0
Oman,OMN,169.29673427,157.26152895,26.4,26.3,72.47676726,11.00000000000000,0.75772446800000,0.72947099100000,19.92000000000000,8.40000000000000,6.197,43.6,3.8
Pakistan,PAK,167.10896687,154.14862211,23.3,24.6,65.99092295,11.90000000000000,6.58355805400000,0.09393517400000,11.60000000000000,18.90000000000000,4.768,19.6,18.7
Palau,PLW,167.93668125,156.64574984,29.5,29.6,,22.20000000000000,,,18.08000000000000,17.30000000000000,,,
Palestine,PSE,172.41495657,158.91935379,,,73.49178033,4.70000000000000,6.81085741100000,,,,4.780,48.1,6.5
Panama,PAN,168.51950252,155.51173386,26.2,27.7,77.23869904,7.30000000000000,20.30514384000000,6.26601381000000,16.25000000000000,5.20000000000000,6.407,45.5,14.3
Papua New Guinea,PNG,163.87877772,155.26710814,25.3,26,65.48786529,14.90000000000000,10.40988113000000,1.27406123500000,0.61000000000000,39.60000000000000,,47.5,
Paraguay,PRY,172.63931176,159.63612127,26.5,26.9,70.27080999,21.00000000000000,7.57676130900000,6.65918883200000,38.93000000000000,10.70000000000000,6.172,28.5,14.1
Peru,PER,165.21925013,152.75333569,26.2,27.1,71.66727055,12.70000000000000,6.21105717100000,6.78628189300000,16.88000000000000,7.10000000000000,5.947,33.5,15.0
Philippines,PHL,163.1234844,149.4898645,22.8,23.5,66.40834182,9.70000000000000,12.66447172000000,5.68987285000000,7.92000000000000,20.40000000000000,6.107,30.1,32.1
Poland,POL,177.26640689,164.5140873,27.4,25.9,75.4021086,6.50000000000000,0.68134402700000,11.91751564100000,40.31000000000000,23.60000000000000,6.673,47.3,10.2
Portugal,PRT,172.86864379,162.83281843,26.1,25.1,81.17961003,7.20000000000000,0.83149929100000,11.21551446100000,58.51000000000000,25.60000000000000,6.013,48.8,13.9
Puerto Rico,PRI,172.02316122,159.27848369,,,79.90294803,12.50000000000000,23.27609601000000,,,,,62.6,6.7
Qatar,QAT,170.78017434,159.48957074,28.8,30.1,76.7101384,7.30000000000000,0.47593173300000,1.28934732800000,30.22000000000000,12.50000000000000,,50.4,5.7
Romania,ROU,174.94175907,162.77171576,27,26.8,72.76430945,9.60000000000000,1.13520483500000,17.06236751200000,36.25000000000000,30.00000000000000,6.563,40.6,10.5
